Year,TextGrid,TierNumber,TierName,useable,
1998,1998_97_1184.TextGrid,7,john paul stevens,1,
1998,1998_97_1184.TextGrid,8,anthony kennedy,1,
1998,1998_97_1184.TextGrid,9,unidentified justice,1,
1998,1998_97_1184.TextGrid,10,ruth bader ginsburg,1,
1998,1998_97_1184.TextGrid,11,stephen g breyer,1,
1998,1998_97_1184.TextGrid,12,william h rehnquist,1,
1998,1998_97_1230.TextGrid,1,jeffrey s sutton,1,
1998,1998_97_1230.TextGrid,2,sandra day oconnor,1,
1998,1998_97_1230.TextGrid,3,david d lawrence,1,
1998,1998_97_1230.TextGrid,4,david h souter,1,
1998,1998_97_1230.TextGrid,5,antonin scalia,1,
1998,1998_97_1230.TextGrid,6,john paul stevens,1,
1998,1998_97_1230.TextGrid,7,anthony kennedy,1,
1998,1998_97_1230.TextGrid,8,unidentified justice,1,
1998,1998_97_1230.TextGrid,9,ruth bader ginsburg,1,
1998,1998_97_1230.TextGrid,10,stephen g breyer,1,
1998,1998_97_1230.TextGrid,11,patrick s smith,1,
1998,1998_97_1230.TextGrid,12,william h rehnquist,1,
1998,1998_97_1287.TextGrid,1,seth kupferberg,1,
1998,1998_97_1287.TextGrid,2,sandra day oconnor,1,
1998,1998_97_1287.TextGrid,3,david h souter,1,
1998,1998_97_1287.TextGrid,4,antonin scalia,1,
1998,1998_97_1287.TextGrid,5,paul t cappuccio,1,
1998,1998_97_1287.TextGrid,6,john paul stevens,1,
1998,1998_97_1287.TextGrid,7,anthony kennedy,1,
1998,1998_97_1287.TextGrid,8,lisa blatt,1,
1998,1998_97_1287.TextGrid,9,ruth bader ginsburg,1,
1998,1998_97_1287.TextGrid,10,stephen g breyer,1,
1998,1998_97_1287.TextGrid,11,william h rehnquist,1,
1998,1998_97_1489.TextGrid,1,sandra day oconnor,1,
1998,1998_97_1489.TextGrid,2,diana l gustin,1,
1998,1998_97_1489.TextGrid,3,david h souter,1,
1998,1998_97_1489.TextGrid,4,antonin scalia,1,
1998,1998_97_1489.TextGrid,5,lisa s blatt,1,
1998,1998_97_1489.TextGrid,6,john paul stevens,1,
1998,1998_97_1489.TextGrid,7,anthony kennedy,1,
1998,1998_97_1489.TextGrid,8,ruth bader ginsburg,1,
1998,1998_97_1489.TextGrid,9,unidentified justice,1,
1998,1998_97_1489.TextGrid,10,stephen g breyer,1,
1998,1998_97_1489.TextGrid,11,william h rehnquist,1,
1998,1998_97_1536.TextGrid,1,john paul stevens,1,
1998,1998_97_1536.TextGrid,2,anthony kennedy,1,
1998,1998_97_1536.TextGrid,3,patrick irvine,1,
1998,1998_97_1536.TextGrid,4,beth s brinkmann,1,
1998,1998_97_1536.TextGrid,5,sandra day oconnor,1,
1998,1998_97_1536.TextGrid,6,bruce c smith,1,
1998,1998_97_1536.TextGrid,7,antonin scalia,1,
1998,1998_97_1536.TextGrid,8,ruth bader ginsburg,1,
1998,1998_97_1536.TextGrid,9,stephen g breyer,1,
1998,1998_97_1536.TextGrid,10,william h rehnquist,1,
1998,1998_97_1868.TextGrid,1,sandra day oconnor,1,
1998,1998_97_1868.TextGrid,2,david h souter,1,
1998,1998_97_1868.TextGrid,3,antonin scalia,1,
1998,1998_97_1868.TextGrid,4,jeffrey l ehrlich,1,
1998,1998_97_1868.TextGrid,5,william j kayatta jr,1,
1998,1998_97_1868.TextGrid,6,john paul stevens,1,
1998,1998_97_1868.TextGrid,7,anthony kennedy,1,
1998,1998_97_1868.TextGrid,8,ruth bader ginsburg,1,
1998,1998_97_1868.TextGrid,9,stephen g breyer,1,
1998,1998_97_1868.TextGrid,10,edwin s kneedler,1,
1998,1998_97_1868.TextGrid,11,william h rehnquist,1,
1998,1998_97_303.TextGrid,1,sandra day oconnor,1,
1998,1998_97_303.TextGrid,2,antonin scalia,1,
1998,1998_97_303.TextGrid,3,john paul stevens,1,
1998,1998_97_303.TextGrid,4,lawrence g wallace,1,
1998,1998_97_303.TextGrid,5,anthony kennedy,1,
1998,1998_97_303.TextGrid,6,ruth bader ginsburg,1,
1998,1998_97_303.TextGrid,7,g robert blakey,1,
1998,1998_97_303.TextGrid,8,stephen g breyer,1,
1998,1998_97_303.TextGrid,9,william h rehnquist,1,
1998,1998_97_303.TextGrid,10,james w colbert iii,1,
1998,1998_97_53.TextGrid,1,james a feldman,1,
1998,1998_97_53.TextGrid,2,sandra day oconnor,1,
1998,1998_97_53.TextGrid,3,david h souter,1,
1998,1998_97_53.TextGrid,4,antonin scalia,1,
1998,1998_97_53.TextGrid,5,john paul stevens,1,
1998,1998_97_53.TextGrid,6,joseph h mattingly iii,1,
1998,1998_97_53.TextGrid,7,carter g phillips,1,
1998,1998_97_53.TextGrid,8,anthony kennedy,1,
1998,1998_97_53.TextGrid,9,ruth bader ginsburg,1,
1998,1998_97_53.TextGrid,10,stephen g breyer,1,
1998,1998_97_53.TextGrid,11,william h rehnquist,1,
1998,1998_97_843.TextGrid,1,sandra day oconnor,1,
1998,1998_97_843.TextGrid,2,david h souter,1,
1998,1998_97_843.TextGrid,3,antonin scalia,1,
1998,1998_97_843.TextGrid,4,w warren plowden jr,1,
1998,1998_97_843.TextGrid,5,barbara d underwood,1,
1998,1998_97_843.TextGrid,6,john paul stevens,1,
1998,1998_97_843.TextGrid,7,anthony kennedy,1,
1998,1998_97_843.TextGrid,8,verna l williams,1,
1998,1998_97_843.TextGrid,9,unidentified justice,1,
1998,1998_97_843.TextGrid,10,ruth bader ginsburg,1,
1998,1998_97_843.TextGrid,11,stephen g breyer,1,
1998,1998_97_843.TextGrid,12,william h rehnquist,1,
1998,1998_98_10.TextGrid,1,sandra day oconnor,1,
1998,1998_98_10.TextGrid,2,david h souter,1,
1998,1998_98_10.TextGrid,3,antonin scalia,1,
1998,1998_98_10.TextGrid,4,jeffrey m sewell,1,
1998,1998_98_10.TextGrid,5,john paul stevens,1,
1998,1998_98_10.TextGrid,6,anthony kennedy,1,
1998,1998_98_10.TextGrid,7,alan b morrison,1,
1998,1998_98_10.TextGrid,8,kent l jones,1,
1998,1998_98_10.TextGrid,9,unidentified justice,1,
1998,1998_98_10.TextGrid,10,ruth bader ginsburg,1,
1998,1998_98_10.TextGrid,11,stephen g breyer,1,
1998,1998_98_10.TextGrid,12,william h rehnquist,1,
1998,1998_98_131.TextGrid,1,sandra day oconnor,1,
1998,1998_98_131.TextGrid,2,david h souter,1,
1998,1998_98_131.TextGrid,3,antonin scalia,1,
1998,1998_98_131.TextGrid,4,john paul stevens,1,
1998,1998_98_131.TextGrid,5,robert w ray,1,
1998,1998_98_131.TextGrid,6,anthony kennedy,1,
1998,1998_98_131.TextGrid,7,eric w bloom,1,
1998,1998_98_131.TextGrid,8,ruth bader ginsburg,1,
1998,1998_98_131.TextGrid,9,unidentified justice,1,
1998,1998_98_131.TextGrid,10,stephen g breyer,1,
1998,1998_98_131.TextGrid,11,william h rehnquist,1,
1998,1998_98_149.TextGrid,1,sandra day oconnor,1,
1998,1998_98_149.TextGrid,2,william b mallin,1,
1998,1998_98_149.TextGrid,3,david h souter,1,
1998,1998_98_149.TextGrid,4,antonin scalia,1,
1998,1998_98_149.TextGrid,5,john paul stevens,1,
1998,1998_98_149.TextGrid,6,anthony kennedy,1,
1998,1998_98_149.TextGrid,7,david c todd,1,
1998,1998_98_149.TextGrid,8,seth p waxman,1,
1998,1998_98_149.TextGrid,9,ruth bader ginsburg,1,
1998,1998_98_149.TextGrid,10,unidentified justice,1,
1998,1998_98_149.TextGrid,11,stephen g breyer,1,
1998,1998_98_149.TextGrid,12,william h rehnquist,1,
1998,1998_98_184.TextGrid,1,barbara b mcdowell,1,
1998,1998_98_184.TextGrid,2,paul s rehurek,1,
1998,1998_98_184.TextGrid,3,donna d domonkos,1,
1998,1998_98_184.TextGrid,4,sandra day oconnor,1,
1998,1998_98_184.TextGrid,5,david h souter,1,
1998,1998_98_184.TextGrid,6,antonin scalia,1,
1998,1998_98_184.TextGrid,7,john paul stevens,1,
1998,1998_98_184.TextGrid,8,anthony kennedy,1,
1998,1998_98_184.TextGrid,9,unidentified justice,1,
1998,1998_98_184.TextGrid,10,ruth bader ginsburg,1,
1998,1998_98_184.TextGrid,11,stephen g breyer,1,
1998,1998_98_184.TextGrid,12,william h rehnquist,1,
1998,1998_98_208.TextGrid,1,eric schnapper,1,
1998,1998_98_208.TextGrid,2,sandra day oconnor,1,
1998,1998_98_208.TextGrid,3,raymond c fay,1,
1998,1998_98_208.TextGrid,4,david h souter,1,
1998,1998_98_208.TextGrid,5,antonin scalia,1,
1998,1998_98_208.TextGrid,6,john paul stevens,1,
1998,1998_98_208.TextGrid,7,anthony kennedy,1,
1998,1998_98_208.TextGrid,8,seth p waxman,1,
1998,1998_98_208.TextGrid,9,ruth bader ginsburg,1,
1998,1998_98_208.TextGrid,10,unidentified justice,1,
1998,1998_98_208.TextGrid,11,stephen g breyer,1,
1998,1998_98_208.TextGrid,12,william h rehnquist,1,
1998,1998_98_223.TextGrid,1,sandra day oconnor,1,
1998,1998_98_223.TextGrid,2,david h souter,1,
1998,1998_98_223.TextGrid,3,antonin scalia,1,
1998,1998_98_223.TextGrid,4,david p gauldin,1,
1998,1998_98_223.TextGrid,5,john paul stevens,1,
1998,1998_98_223.TextGrid,6,anthony kennedy,1,
1998,1998_98_223.TextGrid,7,carolyn m snurkowski,1,
1998,1998_98_223.TextGrid,8,unidentified justice,1,
1998,1998_98_223.TextGrid,9,ruth bader ginsburg,1,
1998,1998_98_223.TextGrid,10,stephen g breyer,1,
1998,1998_98_223.TextGrid,11,malcolm l stewart,1,
1998,1998_98_223.TextGrid,12,william h rehnquist,1,
1998,1998_98_231.TextGrid,1,sandra day oconnor,1,
1998,1998_98_231.TextGrid,2,david h souter,1,
1998,1998_98_231.TextGrid,3,antonin scalia,1,
1998,1998_98_231.TextGrid,4,richard a mescon,1,
1998,1998_98_231.TextGrid,5,john paul stevens,1,
1998,1998_98_231.TextGrid,6,anthony kennedy,1,
1998,1998_98_231.TextGrid,7,ruth bader ginsburg,1,
1998,1998_98_231.TextGrid,8,unidentified justice,1,
1998,1998_98_231.TextGrid,9,drew s days iii,1,
1998,1998_98_231.TextGrid,10,stephen g breyer,1,
1998,1998_98_231.TextGrid,11,william h rehnquist,1,
1998,1998_98_238.TextGrid,1,barbara b mcdowell,1,
1998,1998_98_238.TextGrid,2,sandra day oconnor,1,
1998,1998_98_238.TextGrid,3,david h souter,1,
1998,1998_98_238.TextGrid,4,antonin scalia,1,
1998,1998_98_238.TextGrid,5,john paul stevens,1,
1998,1998_98_238.TextGrid,6,timothy m kelly,1,
1998,1998_98_238.TextGrid,7,anthony kennedy,1,
1998,1998_98_238.TextGrid,8,ruth bader ginsburg,1,
1998,1998_98_238.TextGrid,9,unidentified justice,1,
1998,1998_98_238.TextGrid,10,stephen g breyer,1,
1998,1998_98_238.TextGrid,11,william h rehnquist,1,
1998,1998_98_262.TextGrid,1,sandra day oconnor,1,
1998,1998_98_262.TextGrid,2,david h souter,1,
1998,1998_98_262.TextGrid,3,antonin scalia,1,
1998,1998_98_262.TextGrid,4,thomas l casey,1,
1998,1998_98_262.TextGrid,5,deborah a labelle,1,
1998,1998_98_262.TextGrid,6,john paul stevens,1,
1998,1998_98_262.TextGrid,7,anthony kennedy,1,
1998,1998_98_262.TextGrid,8,ruth bader ginsburg,1,
1998,1998_98_262.TextGrid,9,unidentified justice,1,
1998,1998_98_262.TextGrid,10,stephen g breyer,1,
1998,1998_98_262.TextGrid,11,william h rehnquist,1,
1998,1998_98_347.TextGrid,1,sandra day oconnor,1,
1998,1998_98_347.TextGrid,2,michael r dreeben,1,
1998,1998_98_347.TextGrid,3,david h souter,1,
1998,1998_98_347.TextGrid,4,antonin scalia,1,
1998,1998_98_347.TextGrid,5,john m economidy,1,
1998,1998_98_347.TextGrid,6,john paul stevens,1,
1998,1998_98_347.TextGrid,7,anthony kennedy,1,
1998,1998_98_347.TextGrid,8,unidentified justice,1,
1998,1998_98_347.TextGrid,9,ruth bader ginsburg,1,
1998,1998_98_347.TextGrid,10,stephen g breyer,1,
1998,1998_98_347.TextGrid,11,william h rehnquist,1,
1998,1998_98_369.TextGrid,1,stuart kirsch,1,
1998,1998_98_369.TextGrid,2,sandra day oconnor,1,
1998,1998_98_369.TextGrid,3,david h souter,1,
1998,1998_98_369.TextGrid,4,antonin scalia,1,
1998,1998_98_369.TextGrid,5,david m smith,1,
1998,1998_98_369.TextGrid,6,john paul stevens,1,
1998,1998_98_369.TextGrid,7,anthony kennedy,1,
1998,1998_98_369.TextGrid,8,david c frederick,1,
1998,1998_98_369.TextGrid,9,ruth bader ginsburg,1,
1998,1998_98_369.TextGrid,10,unidentified justice,1,
1998,1998_98_369.TextGrid,11,clarence thomas,1,
1998,1998_98_369.TextGrid,12,stephen g breyer,1,
1998,1998_98_369.TextGrid,13,william h rehnquist,1,
1998,1998_98_377.TextGrid,1,ernest gellhorn,1,
1998,1998_98_377.TextGrid,2,sandra day oconnor,1,
1998,1998_98_377.TextGrid,3,david h souter,1,
1998,1998_98_377.TextGrid,4,antonin scalia,1,
1998,1998_98_377.TextGrid,5,john paul stevens,1,
1998,1998_98_377.TextGrid,6,lawrence g wallace,1,
1998,1998_98_377.TextGrid,7,anthony kennedy,1,
1998,1998_98_377.TextGrid,8,unidentified justice,1,
1998,1998_98_377.TextGrid,9,ruth bader ginsburg,1,
1998,1998_98_377.TextGrid,10,stephen g breyer,1,
1998,1998_98_377.TextGrid,11,william h rehnquist,1,
1998,1998_98_387.TextGrid,1,sandra day oconnor,1,
1998,1998_98_387.TextGrid,2,david h souter,1,
1998,1998_98_387.TextGrid,3,bruce j ennis jr,1,
1998,1998_98_387.TextGrid,4,antonin scalia,1,
1998,1998_98_387.TextGrid,5,barbara d underwood,1,
1998,1998_98_387.TextGrid,6,john paul stevens,1,
1998,1998_98_387.TextGrid,7,anthony kennedy,1,
1998,1998_98_387.TextGrid,8,unidentified justice,1,
1998,1998_98_387.TextGrid,9,ruth bader ginsburg,1,
1998,1998_98_387.TextGrid,10,stephen g breyer,1,
1998,1998_98_387.TextGrid,11,william h rehnquist,1,
1998,1998_98_404.TextGrid,1,sandra day oconnor,1,
1998,1998_98_404.TextGrid,2,david h souter,1,
1998,1998_98_404.TextGrid,3,antonin scalia,1,
1998,1998_98_404.TextGrid,4,maureen e mahoney,1,
1998,1998_98_404.TextGrid,5,john paul stevens,1,
1998,1998_98_404.TextGrid,6,anthony kennedy,1,
1998,1998_98_404.TextGrid,7,seth p waxman,1,
1998,1998_98_404.TextGrid,8,michael a carvin,1,
1998,1998_98_404.TextGrid,9,ruth bader ginsburg,1,
1998,1998_98_404.TextGrid,10,unidentified justice,1,
1998,1998_98_404.TextGrid,11,stephen g breyer,1,
1998,1998_98_404.TextGrid,12,william h rehnquist,1,
1998,1998_98_436.TextGrid,1,laurence s gold,1,
1998,1998_98_436.TextGrid,2,sandra day oconnor,1,
1998,1998_98_436.TextGrid,3,david h souter,1,
1998,1998_98_436.TextGrid,4,antonin scalia,1,
1998,1998_98_436.TextGrid,5,john paul stevens,1,
1998,1998_98_436.TextGrid,6,anthony kennedy,1,
1998,1998_98_436.TextGrid,7,seth p waxman,1,
1998,1998_98_436.TextGrid,8,ruth bader ginsburg,1,
1998,1998_98_436.TextGrid,9,peter j brann,1,
1998,1998_98_436.TextGrid,10,unidentified justice,1,
1998,1998_98_436.TextGrid,11,stephen g breyer,1,
1998,1998_98_436.TextGrid,12,william h rehnquist,1,
1998,1998_98_470.TextGrid,1,charles alan wright,1,
1998,1998_98_470.TextGrid,2,sandra day oconnor,1,
1998,1998_98_470.TextGrid,3,david h souter,1,
1998,1998_98_470.TextGrid,4,antonin scalia,1,
1998,1998_98_470.TextGrid,5,clifton t hutchinson,1,
1998,1998_98_470.TextGrid,6,john paul stevens,1,
1998,1998_98_470.TextGrid,7,anthony kennedy,1,
1998,1998_98_470.TextGrid,8,unidentified justice,1,
1998,1998_98_470.TextGrid,9,ruth bader ginsburg,1,
1998,1998_98_470.TextGrid,10,stephen g breyer,1,
1998,1998_98_470.TextGrid,11,william h rehnquist,1,
1998,1998_98_531.TextGrid,1,sandra day oconnor,1,
1998,1998_98_531.TextGrid,2,david h souter,1,
1998,1998_98_531.TextGrid,3,antonin scalia,1,
1998,1998_98_531.TextGrid,4,john paul stevens,1,
1998,1998_98_531.TextGrid,5,anthony kennedy,1,
1998,1998_98_531.TextGrid,6,kevin j culligan,1,
1998,1998_98_531.TextGrid,7,seth p waxman,1,
1998,1998_98_531.TextGrid,8,unidentified justice,1,
1998,1998_98_531.TextGrid,9,ruth bader ginsburg,1,
1998,1998_98_531.TextGrid,10,stephen g breyer,1,
1998,1998_98_531.TextGrid,11,william h rehnquist,1,
1998,1998_98_531.TextGrid,12,jonathan a glogau,1,
1998,1998_98_536.TextGrid,1,irving l gornstein,1,
1998,1998_98_536.TextGrid,2,sandra day oconnor,1,
1998,1998_98_536.TextGrid,3,david h souter,1,
1998,1998_98_536.TextGrid,4,antonin scalia,1,
1998,1998_98_536.TextGrid,5,michael gottesman,1,
1998,1998_98_536.TextGrid,6,john paul stevens,1,
1998,1998_98_536.TextGrid,7,anthony kennedy,1,
1998,1998_98_536.TextGrid,8,ruth bader ginsburg,1,
1998,1998_98_536.TextGrid,9,unidentified justice,1,
1998,1998_98_536.TextGrid,10,stephen g breyer,1,
1998,1998_98_536.TextGrid,11,william h rehnquist,1,
1998,1998_98_536.TextGrid,12,beverly p downing,1,
1998,1998_98_591.TextGrid,1,scott n hunt,1,
1998,1998_98_591.TextGrid,2,sandra day oconnor,1,
1998,1998_98_591.TextGrid,3,david h souter,1,
1998,1998_98_591.TextGrid,4,antonin scalia,1,
1998,1998_98_591.TextGrid,5,edward c dumont,1,
1998,1998_98_591.TextGrid,6,john paul stevens,1,
1998,1998_98_591.TextGrid,7,anthony kennedy,1,
1998,1998_98_591.TextGrid,8,corbett gordon,1,
1998,1998_98_591.TextGrid,9,unidentified justice,1,
1998,1998_98_591.TextGrid,10,ruth bader ginsburg,1,
1998,1998_98_591.TextGrid,11,stephen g breyer,1,
1998,1998_98_591.TextGrid,12,william h rehnquist,1,
1998,1998_98_727.TextGrid,1,sandra day oconnor,1,
1998,1998_98_727.TextGrid,2,david h souter,1,
1998,1998_98_727.TextGrid,3,antonin scalia,1,
1998,1998_98_727.TextGrid,4,john paul stevens,1,
1998,1998_98_727.TextGrid,5,anthony kennedy,1,
1998,1998_98_727.TextGrid,6,john j arnold,1,
1998,1998_98_727.TextGrid,7,thomas c goldstein,1,
1998,1998_98_727.TextGrid,8,ruth bader ginsburg,1,
1998,1998_98_727.TextGrid,9,unidentified justice,1,
1998,1998_98_727.TextGrid,10,stephen g breyer,1,
1998,1998_98_727.TextGrid,11,william h rehnquist,1,
1998,1998_98_830.TextGrid,1,thomas h shipps,1,
1998,1998_98_830.TextGrid,2,sandra day oconnor,1,
1998,1998_98_830.TextGrid,3,thomas j davidson,1,
1998,1998_98_830.TextGrid,4,david h souter,1,
1998,1998_98_830.TextGrid,5,antonin scalia,1,
1998,1998_98_830.TextGrid,6,carter g phillips,1,
1998,1998_98_830.TextGrid,7,john paul stevens,1,
1998,1998_98_830.TextGrid,8,jeffrey p minear,1,
1998,1998_98_830.TextGrid,9,anthony kennedy,1,
1998,1998_98_830.TextGrid,10,unidentified justice,1,
1998,1998_98_830.TextGrid,11,ruth bader ginsburg,1,
1998,1998_98_830.TextGrid,12,stephen g breyer,1,
1998,1998_98_830.TextGrid,13,william h rehnquist,1,
1998,1998_98_84.TextGrid,1,sandra day oconnor,1,
1998,1998_98_84.TextGrid,2,david h souter,1,
1998,1998_98_84.TextGrid,3,antonin scalia,1,
1998,1998_98_84.TextGrid,4,john g roberts jr,1,
1998,1998_98_84.TextGrid,5,john paul stevens,1,
1998,1998_98_84.TextGrid,6,carter g phillips,1,
1998,1998_98_84.TextGrid,7,anthony kennedy,1,
1998,1998_98_84.TextGrid,8,ruth bader ginsburg,1,
1998,1998_98_84.TextGrid,9,edwin s kneedler,1,
1998,1998_98_84.TextGrid,10,stephen g breyer,1,
1998,1998_98_84.TextGrid,11,william h rehnquist,1,
1998,1998_98_85.TextGrid,1,james a feldman,1,
1998,1998_98_85.TextGrid,2,walter e dellinger,1,
1998,1998_98_85.TextGrid,3,sandra day oconnor,1,
1998,1998_98_85.TextGrid,4,david h souter,1,
1998,1998_98_85.TextGrid,5,antonin scalia,1,
1998,1998_98_85.TextGrid,6,robinson o everett,1,
1998,1998_98_85.TextGrid,7,john paul stevens,1,
1998,1998_98_85.TextGrid,8,anthony kennedy,1,
1998,1998_98_85.TextGrid,9,ruth bader ginsburg,1,
1998,1998_98_85.TextGrid,10,unidentified justice,1,
1998,1998_98_85.TextGrid,11,stephen g breyer,1,
1998,1998_98_85.TextGrid,12,william h rehnquist,1,
1998,1998_98_97.TextGrid,1,sandra day oconnor,1,
1998,1998_98_97.TextGrid,2,david h souter,1,
1998,1998_98_97.TextGrid,3,antonin scalia,1,
1998,1998_98_97.TextGrid,4,mark d rosenbaum,1,
1998,1998_98_97.TextGrid,5,john paul stevens,1,
1998,1998_98_97.TextGrid,6,anthony kennedy,1,
1998,1998_98_97.TextGrid,7,seth p waxman,1,
1998,1998_98_97.TextGrid,8,ruth bader ginsburg,1,
1998,1998_98_97.TextGrid,9,unidentified justice,1,
1998,1998_98_97.TextGrid,10,stephen g breyer,1,
1998,1998_98_97.TextGrid,11,william h rehnquist,1,
1998,1998_98_97.TextGrid,12,theodore garelis,1,
